id,name,englishName,category,categoryId,definition,example,manifestation,counterStrategy
"01","诉诸匿名权威","Appeal to Anonymous Authority","诉诸思想","mind","引用来源不详的“专家”、“研究”或某一群体（比如“科学家”）以声称某观点是正确的。","“他们说要花7年才能消化一片口香糖。”","常见于自媒体爆款文章、短视频与日常传言。高频使用“专家表示”、“据最新科学发现”、“研究人员指出”，却从不给出具体的科研机构、论文出处、发表年份或样本规模。","直接追问信源三要素：“这项研究出自哪所大学或独立科研机构？论文发表在什么权威期刊？具体由哪位学者主持？”要求对方提供可供公开核验的第一手文献。"
"02","诉诸(可疑)权威","Appeal to Questionable Authority","诉诸思想","mind","因为某个无实无信的“专家”说某件事是真的，因而断言确实如此。","“超过400位杰出的科学家与工程师对全球变暖持争议态度。”","引用缺乏学术公信力的挂牌野鸡机构、被同行除名的争议人员，或者让非本领域的专家跨界背书（例如让机械工程师断言病毒学与流行病学结论）。","核实该权威是否具备相应领域的对口执业资质，其论点是否代表经同行评审检验的主流科学界共识，而非脱离实证支撑的孤立言论。"
"03","诉诸常规","Appeal to Common Practice","诉诸思想","mind","因为常见，所以正确。","“这家银行有些贪污腐败方面的问题。但在这里发生的事不是在哪家银行都在发生嘛。”","“大家都这么干”、“业内潜规则都是这样”，试图通过展现某种不良现象在统计或现实中的普遍性，来为违规违法行为正名。","“普遍性绝不等于正当性。全班同学都抄作业并不代表抄作业是合规的；大家都在闯红灯，闯红灯依然违法。”"
"04","诉诸无知","Appeal to Ignorance","诉诸思想","mind","某一观点是正确的，仅仅因为它没有被证伪（或某观点是错误的，仅仅因为它尚未被证实）。","“没人能证明有上帝。所以没有上帝。”","“你无法证明外星人没有在暗中监视地球，所以他们必定就在我们身边。”利用人类当前认知边界的空白来强塞未经证实的假说。","缺乏反驳证据不等于正面证实，无法证伪也不等于证实。坚持“谁主张、谁举证”的科学原则。"
"05","诉诸怀疑","Appeal to Incredulity","诉诸思想","mind","因为某件事听起来不可信或超乎直觉，所以一定不是真的。","“眼睛是超级复杂的生物机械之作，有千万个紧密联系的部件。如果没有一位睿智的设计者，这怎么可能存在？”","因个人知识结构受限、想象力缺乏或与日常直觉相悖，直接断定科学发现（如相对论、深时演化、量子力学）不可能为真。","客观世界的规律从不以人类有限的常识直觉为准绳。个人“难以置信”只是认知的起点，不能作为事实真伪的裁决依据。"
"06","身价逻辑","Appeal to Wealth","诉诸思想","mind","如果某人很有钱，或者某样东西很贵，那么这就对某一论断的真实性造成了影响。","“如果这玩儿更贵的话，那它一定更好。”","“这位百亿富豪推荐的健康配方绝对不会错”、“一千块一盒的天价保健品效果肯定甩开普通维生素几条街”。","价格取决于市场供求、品牌炒作与溢价，与物理或科学功效不构成必然正比；个人财富积累不代表全知全能的专业判断力。"
"07","求新逻辑","Appeal to Novelty","诉诸思想","mind","因为是最新的，所以更好。","“太棒了！最新的操作系统会让我的电脑跑得更快的！”","盲目崇拜最新的管理概念、消费流行或技术框架，认定旧方案必然落后低效。","“新”仅代表出现的时间序列先后，绝不天然等于“稳定、成熟与优越”。新版本常伴随未经大规模检验的未知缺陷与兼容风险。"
"08","诉诸主流","Appeal to Popular Belief","诉诸思想","mind","认定某件事是真的，因为大多数人都这么相信。","“喝牛奶能使你骨骼强健。”","“全国几亿人都在转发赞同，难道他们都傻吗？”、“市场上大家都跟风买进这只股票，闭着眼买肯定稳赚”。","真理的客观性不取决于点赞人数或投票数。中世纪绝大多数人都笃信地心说，大众盲从往往掩盖了缺乏检验的共识泡沫。"
"09","诉诸概率","Appeal to Probability","诉诸思想","mind","相信因为某件事情可能发生，所以必然会发生。","“宇宙里有数不清的星系，无数多的星星。一定有另一颗行星孕育了智慧生命。”","将“微小非零的理论概率”在推论中悄悄偷换为“板上钉钉的确定事实”。例如将灾难发生的潜在风险直接当作当下确证的现实。","“有可能发生”是假设与探索的前提，绝不能直接充当论证的最终结论。在“可能性”与“现实性”之间需要扎实的实证桥梁。"
"10","诉诸传统","Appeal to Tradition","诉诸思想","mind","声称某件事是正确的，因为（很显然）一直以来都是这样。","“婚姻是男与女的结合。因此同性婚姻毫无根据。”","“老祖宗传下来几千年了怎么会有错”、“我们部门自建厂以来都是这么操作的”，用历史沿袭作为抵制变革的盾牌。","历史延续的时间长度不能赋予行为必然的道德与科学合法性。许多曾经延绵千年的封建制度与陋习最终都被现代文明所淘汰。"
"11","掩耳盗铃","Appeal to Consequences","诉诸情感","emotion","声称某个观点是错误的，因为你不愿意相信那所意味的事实。","“他不可能就是为了骗我的。他说过他爱我的，他一定是遭到了什么变故。”","因为接受某一事实（如投资破产、恋人背叛、绝症确诊）在情感上过于痛苦沉重，从而在面对确凿证据时选择性失明并予以否认。","结论所带来的情绪负担无法削弱其客观真实度。逃避和否认现实并不能阻止客观因果的自然发生。"
"12","诉诸恐惧","Appeal to Fear","诉诸情感","emotion","煽动对一方的恐惧与偏见，从而进行论证。","“在你意识到之前，清真寺的数目就会超过教堂。”","营销中的恐吓策略（“现在不买这款抗衰产品，三十岁后你将追悔莫及”）或政治辩论中描绘耸人听闻的末日毁灭图景。","将情绪恐吓与事实因果剥离分析。审视对方描绘的可怕后果是否具有严格的发生逻辑与统计概率，避免被恐惧剥夺冷静思考。"
"13","诉诸谄媚","Appeal to Flattery","诉诸情感","emotion","给毫无根据的论点裹上糖衣炮弹，让人不自觉地全盘接受。","“聪明又有洞察力的读者当然在读到这样的谬误时就能马上发觉。”","大肆夸赞受众的智商、格局、良知或地位，让对方为了匹配这些美誉而情不自禁地对荒谬推论点头称赞。","“感谢您的溢美之词，但我们探讨的核心应当聚焦于方案可行性与数据真实性本身，而非我个人的特质。”"
"14","诉诸自然","Appeal to Nature","诉诸情感","emotion","通过与“至善”的自然界对比，来使你的观点看起来更站得住脚。","“同性恋当然违背天性。你看不到同性动物交配吧。”","“纯天然中草药绝无副作用”（忽视了砷、汞、毒蘑菇皆是纯天然），或将野外残酷的“弱肉强食”奉为人间行为准则。","自然存在的现象绝不直接等同于良善、安全或道德。人类现代文明的医疗、法治与人权，正是建立在克服自然野蛮缺陷的基础之上。"
"15","诉诸同情","Appeal to Pity","诉诸情感","emotion","唤起人们的怜悯之心，以动摇对手。","“前独裁者已垂垂老矣，濒临暮年。让他为当年的暴行受审太残忍了。”","诉苦式辩护（“项目虽有严重Bug，但我团队已连续通宵两周，不该问责”；法庭上大打悲情牌掩盖罪行）。","同情心体现人文关怀，但不可跨越制度规章与司法公正的红线。对违规者的过度宽宥是对受害者利益的二次伤害。"
